entity,explanation
IBM Smart Business,"IBM's cloud solutions, which include IBM Smart Business Test Cloud, IBM Smart Analytics Cloud, IBM Smart Business Storage Cloud, IBM Information Archive, IBM Lotus Live, and IBM LotusLive iNotes."
Internal cloud,A type of private cloud whose services are provided by an IT department to those in its own organization.
Mashup,A Web-based application that combines data and/or functionality from multiple sources.
Microsoft Azure,"Microsoft cloud services that provide the platform as a service (see PaaS), allowing developers to create cloud applications and services."
Middleware,"Software that sits between applications and operating systems, consisting of a set of services that enable interoperability in support of distributed architectures by passing data between applications. So, for example, the data in one database can be accessed through another database."
On-demand service,"A model by which a customer can purchase cloud services as needed; for instance, if customers need to utilize additional servers for the duration of a project, they can do so and then drop back to the previous level after the project is completed."
PaaS,"Platform as a service — Cloud platform services, whereby the computing platform (operating system and associated services) is delivered as a service over the Internet by the provider."
Pay as you go,"A cost model for cloud services that encompasses both subscription-based and consumption-based models, in contrast to traditional IT cost model that requires up-front capital expenditures for hardware and software."
Private cloud,"Services offered over the Internet or over a private internal network to only select users, not available to the general public."
Public cloud,Services offered over the public Internet and available to anyone who wants to purchase the service.
SaaS,"Software as a service — Cloud application services, whereby applications are delivered over the Internet by the provider, so that the applications don't have to be purchased, installed, and run on the customer's computers. SaaS providers were previously referred to as ASP (application service providers)."
Salesforce.com,An online SaaS company that is best known for delivering customer relationship management (CRM) software to companies over the Internet.
Service migration,The act of moving from one cloud service or vendor to another.
Service provider,The company or organization that provides a public or private cloud service.
SLA,"Service level agreement — A contractual agreement by which a service provider defines the level of service, responsibilities, priorities, and guarantees regarding availability, performance, and other aspects of the service."
Subscription-based pricing model,"A pricing model that lets customers pay a fee to use the service for a particular time period, often used for SaaS services. See also Consumption-based pricing model."
Utility computing,Online computing or storage sold as a metered commercial service in a way similar to a public utility
Vendor lock-in,"Dependency on the particular cloud vendor and difficulty moving from one cloud vendor to another due to lack of standardized protocols, APIs, data structures (schema), and service models."
Vertical cloud,"A cloud computing environment that is optimized for use in a particular industry, such as health care or financial services."
Virtual private data center,Resources grouped according to specific business objectives.
VPC,"Virtual private cloud — A private cloud that exists within a shared or public cloud, e.g., the Amazon VPC that allows Amazon EC2 to connect to legacy infrastructure on an IPsec VPN."
Windows Live Services,"Microsoft's cloud-based consumer applications, which include Windows Live Mail, Windows Live Photo Gallery, Windows Live Calendar, Windows Live Events, Windows Live Skydrive, Windows Live Spaces, Windows Live Messenger, Windows Live Writer, and Windows Live for Mobile."
