entity,explanation
Private Key,"A private key is a string of data that shows you have access to bitcoins in a specific wallet. Private keys can be thought of as a password; private keys must never be revealed to anyone but you, as they allow you to spend the bitcoins from your bitcoin wallet through a cryptographic signature."
Proof of Authority,Proof of Authority is a consensus mechanism in a private blockchain which essentially gives one client (or a specific number of clients) with one particular private key the right to make all of the blocks in the blockchain.
Proof of Stake,"Proof of Stake is an alternative to the proof-of-work system, in which your existing stake in a cryptocurrency (the amount of that currency that you hold) is used to calculate the amount of that currency that you can mine."
Proof of Work,"Proof of Work is a system that ties mining capability to computational power. Blocks must be hashed, which is in itself an easy computational process, but an additional variable is added to the hashing process to make it more difficult. When a block is successfully hashed, the hashing must have taken some time and computational effort. Thus, a hashed block is considered proof of work."
Pseudonymity,"Bitcoin is pseudonymous. In Bitcoin, your pseudonym is the address to which you receive Bitcoin. Every transaction involving that address is stored forever in the blockchain. If your address is ever linked to your identity, every transaction will be linked to you."
SHA 256,SHA 256 is the cryptographic function used as the basis for bitcoin’s proof of work system.
Sharding,"Sharding is a type of database partitioning that separates very large databases the into smaller, faster, more easily managed parts called data shards. The word shard means a small part of a whole. The method is being researched by Ethereum to increase network scalability."
Smart Contract,"Smart contracts are contracts whose terms are recorded in a computer language instead of legal language. Smart contracts can be automatically executed by a computing system, such as a suitable distributed ledger system."
Solidity,Solidity is a contract-oriented programming language for writing smart contracts. It is used for implementing smart contracts on various blockchain platforms.
TestRPC,TestRPC is a Node.js based Ethereum client for testing and development. It uses ethereumjs to simulate full client behavior and make developing Ethereum applications much faster. It also includes all popular RPC functions and features (like events) and can be run deterministically to make development a breeze.
The 3 Layer Model,"It is said a blockchain is made up of three layers. 1. Design goals, 2. Implementations and 3. Instances. Each layer has additional properties that belong to it."
Token,A token is a digital identity for something that can be owned.
Transaction Block,"A transaction block is a collection of transactions on the bitcoin network, gathered into a block that can then be hashed and added to the blockchain."
Truffle,"Truffle is a development environment, testing framework and asset pipeline for Ethereum, aiming to make life as an Ethereum developer easier."
Turing Complete,"A computer is Turing complete if it can solve any problem that a Turing machine can, given an appropriate algorithm and the necessary time and memory. When applied to a programming language, this phrase means that it can fully exploit the capabilities of a Turing complete computer."
Unspent Transaction Output (UTXO),"Referring to the bitcoin blockchain implementation (the second layer) the basic element being tracked are UTXO’s. A digital equivalent of a cheque. A bitcoin transaction regroups a set of non cashed cheques as input, cashes them in and produces a set of non cashed cheques as outputs. There are no UTXO’s used in Ethereum."
Wallet,A wallet is a file that contains a collection of private keys.
Web3.js,"Web3.js is a collection of libraries which allow you to interact with a local or remote ethereum node, using a HTTP or IPC connection. Under the hood it communicates to a local node through RPC calls. web3.js works with any Ethereum node, which exposes an RPC layer."
